,user,text,favorite_count,retweet_count,created_at
0,FreisITG,@DDRoscoe_ EXACTLYY im getting motion sickness just watching lmaooooo,0,0,2022-10-23 05:03:28+00:00
1,FreisITG,"im so glad they removed so much screen shake in SDVX 6, how the fuck was I able to read anything in SDVX 3-5 lmao",2,0,2022-10-23 04:56:42+00:00
2,FreisITG,@bromid I loveyou,2,0,2022-10-23 04:00:36+00:00
3,FreisITG,@resetmakes Decent pads + ITG tech-like chart 👌 those jumps tho,1,0,2022-10-22 16:37:20+00:00
4,FreisITG,@ToshiyukiDoma relatabale sa feels na “buti nalang talaga”,1,0,2022-10-22 15:15:19+00:00
5,FreisITG,#spookyscores 👻 3rd play on this https://t.co/YGwLCfOE52,16,0,2022-10-22 14:33:41+00:00
6,FreisITG,@ToshiyukiDoma relatable,1,0,2022-10-22 14:22:27+00:00
7,FreisITG,@kaberosi HAPPY BIRTHDAY STEPHHH WOOOHH,1,0,2022-10-21 17:31:55+00:00
8,FreisITG,Re:Rose Gun Shoooot! (MXM 17) PUC https://t.co/YpPrfO4zX1,3,0,2022-10-21 16:12:34+00:00
9,FreisITG,@Erika_PooPoo it do be like that with the 19s 🥲,0,0,2022-10-21 13:57:47+00:00
10,FreisITG,@tmof_veins Hot damnn teach pls,1,0,2022-10-21 12:32:07+00:00
11,FreisITG,@ToshiyukiDoma LETS GOOO WTFFF,1,0,2022-10-21 11:44:36+00:00
12,FreisITG,@Erika_PooPoo da grindy,0,0,2022-10-21 10:31:59+00:00
13,FreisITG,"You Are My Best Rival (MXM 20) 970

Need to figure out how to hit that 240bpm jack + holds 🥲 https://t.co/eOXgJfeisa",8,0,2022-10-21 10:30:16+00:00
14,FreisITG,This was last KAC 2020. Hope to meet more of you in the coming years!!!,2,0,2022-10-21 08:06:53+00:00
15,FreisITG,@FerrickOxide let me make bili muna some soy bean curd bro,1,0,2022-10-21 05:45:58+00:00
16,FreisITG,bro sumakit head ko dun bro like fr fr ngl https://t.co/EMbr8lg04j,9,0,2022-10-21 05:07:26+00:00
17,FreisITG,World’s first PUC!!! 🔥 https://t.co/AQQqtRTPJR,2,0,2022-10-20 15:35:06+00:00
18,FreisITG,@Erika_PooPoo us2 q na umuwi para malaro,0,0,2022-10-20 06:54:53+00:00
19,FreisITG,@Happyowski cool guys having a cool time 🤝,1,0,2022-10-20 03:22:14+00:00
20,FreisITG,💪 https://t.co/RevtbIkefr,55,0,2022-10-20 03:04:40+00:00
21,FreisITG,@AkemiTCG Happy birthday brother!!!!,1,0,2022-10-19 15:53:50+00:00
22,FreisITG,@Jakeyyyboiiii :( im so sorry bro,0,0,2022-10-19 15:08:04+00:00
23,FreisITG,driving while listening to otogecore top 3 experiences,2,0,2022-10-19 10:56:41+00:00
24,FreisITG,@leoncbrunson BROOO I wanna see you rip this 🙏,0,0,2022-10-19 10:40:11+00:00
25,FreisITG,@leoncbrunson @BROSONI ???!???!?!?!?!?!,0,0,2022-10-19 07:56:04+00:00
26,FreisITG,I don’t play IIDX but I just KNOW how crazy KKM*’s score tweets are. Every. Single. One. https://t.co/Ur4xb4h2i2,2,0,2022-10-18 14:54:50+00:00
27,FreisITG,100kg squat and deadlift 😳 https://t.co/2KdzijEi4Z https://t.co/9MGfjEBqXL,14,0,2022-10-18 14:31:53+00:00
28,FreisITG,@shadowobsessed @SakifX9 gonna end world hunger little by little,2,0,2022-10-18 01:48:02+00:00
29,FreisITG,@ToshiyukiDoma SANAA NGAAA,1,0,2022-10-18 01:47:26+00:00
30,FreisITG,@garrettFM I HOPEEE 🙏,1,0,2022-10-18 01:47:17+00:00
31,FreisITG,Bro she’s mad serious about it. Someone wake me up already,22,0,2022-10-17 15:55:11+00:00
32,FreisITG,@AkemiTCG It went way better than I thought!!! I dont regret posting it 🔥,3,0,2022-10-17 14:05:03+00:00
33,FreisITG,@leoncbrunson Its so good. Hope to 99 it soon 😤,0,0,2022-10-17 12:24:34+00:00
34,FreisITG,https://t.co/JRsJLw7Fjy,0,0,2022-10-17 10:48:41+00:00
35,FreisITG,"@SakifX9 you didnt have to mention it brother, thats what friends are for",4,0,2022-10-17 10:41:53+00:00
36,FreisITG,"Because of my IG post, the girl I like wants to play ITG at my place

is this real or am I just living in a simulation ???",69,0,2022-10-17 10:31:17+00:00
37,FreisITG,"@TehSqueenis very very proud of you bro, you've come so far!!",1,0,2022-10-17 09:42:57+00:00
38,FreisITG,lunch break PUC https://t.co/EJIaBBY1jt,11,0,2022-10-17 04:59:14+00:00
39,FreisITG,@dtx_gem https://t.co/BDeFw1tR8c,2,0,2022-10-17 03:55:35+00:00
40,FreisITG,@RunDaltonRun Looks like its the mobile apps 🥲 vid looks fine on browser using my pc as well,0,0,2022-10-17 01:27:39+00:00
41,FreisITG,Come on twitter why this UI change. How are people gonna see all the left arrows https://t.co/LYnyFUdtLU,1,0,2022-10-16 17:08:55+00:00
42,FreisITG,@jadefengs @Zetorux @_speny 💀,1,0,2022-10-16 17:02:07+00:00
43,FreisITG,Getting the 200bpm reps in https://t.co/MLusW1nGBk,18,0,2022-10-16 15:25:26+00:00
44,FreisITG,@cametek blastix time,1,0,2022-10-16 13:22:43+00:00
45,FreisITG,Mameyudoufu my beloved https://t.co/Mp0qkg1XHw,0,0,2022-10-16 12:05:16+00:00
46,FreisITG,if you listen closely around 1:41 you’ll notice that there’s one hold there that I barely hit on time 💀,0,0,2022-10-16 10:42:34+00:00
47,FreisITG,@talkion_ Happy birthday brooooo,1,0,2022-10-16 10:34:08+00:00
48,FreisITG,This the dude that killed Aerith btw https://t.co/wiiiELVFhm,4,0,2022-10-16 10:30:41+00:00
49,FreisITG,https://t.co/3N9VDiQRst,0,0,2022-10-16 06:39:06+00:00
50,FreisITG,"@_sumikk0 sick stuff, even gonna get more sick once you do the crossovers 🤝",1,0,2022-10-16 04:19:20+00:00
51,FreisITG,@mr_j1998 please please let it be an sdvx cab,1,0,2022-10-16 04:10:02+00:00
52,FreisITG,@miguh_ Im at 900 now 🥲 these 19s super dense,1,0,2022-10-16 02:44:38+00:00
53,FreisITG,@mr_j1998 Thank you!! Apparently it originated from Museca. That explains,1,0,2022-10-15 16:18:11+00:00
54,FreisITG,"スノウイコン (MXM 17) PUC
July 8, 2022 https://t.co/RtczTEUgTW",9,0,2022-10-15 15:27:02+00:00
55,FreisITG,@DDRoscoe_ All that lasting promise training paid off,1,0,2022-10-15 08:34:47+00:00
56,FreisITG,@Ieviern last resort mirror 🤝,2,0,2022-10-15 08:01:30+00:00
57,FreisITG,@sorryarisaurus thank you 😭😭 guess im just not used to other people actually knowing,1,0,2022-10-15 06:06:04+00:00
58,FreisITG,why tf do i still feel anxious even AFTER making the post lmao,1,0,2022-10-15 05:52:39+00:00
59,FreisITG,@_sumikk0 @_speny 🫣,2,0,2022-10-15 04:38:45+00:00
60,FreisITG,"like comment subscribe hit that bell icon double tap the thing, ill follow yall back dw",2,0,2022-10-15 04:30:01+00:00
61,FreisITG,@kaberosi STEPHH 😭😭😭,1,0,2022-10-15 04:24:48+00:00
62,FreisITG,"OKAY I DID IT I FINALLY POSTED ITG ON MAIN!! Please support me, I really love DDR/ITG BUT have been VERY anxious to talk about it outside circles because of bullying in the past.. this post took me a lot to make 🙏 https://t.co/clAyHjS3vS",32,4,2022-10-15 04:18:53+00:00
63,FreisITG,@ThatMirrorDude Bruh im so amazed every time you make a scorepost.. mans just quadded another 13 and is close on a 14 WTFFF so good,1,0,2022-10-14 22:20:58+00:00
64,FreisITG,in thegrooveey,2,1,2022-10-14 21:30:40+00:00
65,FreisITG,https://t.co/JRsJLw7Fjy https://t.co/GO5uMaYiTB,0,0,2022-10-14 09:44:46+00:00
66,FreisITG,ITG LATER! I hope I fixed my audio issues,3,0,2022-10-14 07:08:28+00:00
67,FreisITG,@_sumikk0 yall will know on sat dw,0,0,2022-10-14 06:39:51+00:00
68,FreisITG,OKAYY doing it on saturday https://t.co/FQgWx0H9MQ,0,0,2022-10-14 06:36:09+00:00
69,FreisITG,@matt_sdvx its the ddr pfc brain acting up,0,0,2022-10-13 08:04:22+00:00
70,FreisITG,@matt_sdvx not yet rly. I had like 18 lvl17 pucs already,0,0,2022-10-13 06:50:59+00:00
71,FreisITG,@DDRoscoe_ https://t.co/Owl4dVtLwA,1,0,2022-10-13 05:15:54+00:00
72,FreisITG,@_sumikk0 hmmm,1,0,2022-10-13 05:12:20+00:00
73,FreisITG,@chre_ola This is insaneee man,1,0,2022-10-13 05:02:31+00:00
74,FreisITG,20 likes and ill post itg clips on insta,23,0,2022-10-13 00:55:59+00:00
75,FreisITG,Good vibes all around https://t.co/PTPlCc4Bfo,9,0,2022-10-12 15:10:32+00:00
76,FreisITG,@OtherElement_ this is actually super duper insane,1,0,2022-10-11 15:08:00+00:00
77,FreisITG,@xopher314 NOOOOOOOO,0,0,2022-10-11 14:52:32+00:00
78,FreisITG,@yaitskayy @sorryarisaurus i remember your one tweet 😂😂😂,1,0,2022-10-11 14:51:37+00:00
79,FreisITG,@AkemiTCG theyll be like “whats an itg” 🫠 nah but im really on the fence on making some IG posts loll,1,0,2022-10-11 14:46:14+00:00
